CRASH DATETIME,CRASH DAY,CRASH WEEK NUMBER,CRASH WEEKDAY,BOROUGH,VEHICLE,VEHICLE EMOJI,WEATHER,WEATHER EMOJI,NUMBER OF PERSONS INJURED,NUMBER OF PERSONS KILLED,ORIGINAL FACTOR,FACTOR,HOUR,VALID,MONTH,DAY,CRASH HOUR,LOCATION AT HOUR
2018-09-18 16:00:00,2018-09-18,38,Tue,Brooklyn,Ambulance,🚑,Rainy,🌧,0.0,0.0,Passing Too Closely,Driving Infraction,16,1,September,18,16:00H,"Brooklyn, 16:00H"
2018-09-18 16:00:00,2018-09-18,38,Tue,Manhattan,Taxi,🚕,Rainy,🌧,1.0,0.0,Driver Inattention/Distraction,Driver Inattention,16,1,September,18,16:00H,"Manhattan, 16:00H"
2018-09-18 16:00:00,2018-09-18,38,Tue,Manhattan,Taxi,🚕,Rainy,🌧,0.0,0.0,Driver Inattention/Distraction,Driver Inattention,16,1,September,18,16:00H,"Manhattan, 16:00H"
2018-09-18 16:00:00,2018-09-18,38,Tue,Manhattan,Taxi,🚕,Rainy,🌧,0.0,0.0,Driver Inattention/Distraction,Driver Inattention,16,1,September,18,16:00H,"Manhattan, 16:00H"
2018-09-18 15:00:00,2018-09-18,38,Tue,Brooklyn,Taxi,🚕,Rainy,🌧,2.0,0.0,Driver Inattention/Distraction,Driver Inattention,15,1,September,18,15:00H,"Brooklyn, 15:00H"
2018-09-18 09:00:00,2018-09-18,38,Tue,Manhattan,Taxi,🚕,Rainy,🌧,0.0,0.0,Driver Inattention/Distraction,Driver Inattention,9,1,September,18,09:00H,"Manhattan, 09:00H"
2018-09-18 09:00:00,2018-09-18,38,Tue,Queens,Taxi,🚕,Rainy,🌧,0.0,0.0,Passing Too Closely,Driving Infraction,9,1,September,18,09:00H,"Queens, 09:00H"
2018-09-18 02:00:00,2018-09-18,38,Tue,,Taxi,🚕,Rainy,🌧,0.0,0.0,Following Too Closely,Driving Infraction,2,1,September,18,02:00H,
2018-09-08 21:00:00,2018-09-08,36,Sat,Manhattan,Taxi,🚕,Rainy,🌧,0.0,0.0,Passing or Lane Usage Improper,Driving Infraction,21,1,September,08,21:00H,"Manhattan, 21:00H"
2018-09-08 03:00:00,2018-09-08,36,Sat,Manhattan,Taxi,🚕,Rainy,🌧,4.0,0.0,Driver Inattention/Distraction,Driver Inattention,3,1,September,08,03:00H,"Manhattan, 03:00H"
2018-09-08 03:00:00,2018-09-08,36,Sat,Manhattan,Taxi,🚕,Rainy,🌧,0.0,0.0,Following Too Closely,Driving Infraction,3,1,September,08,03:00H,"Manhattan, 03:00H"
2018-09-08 03:00:00,2018-09-08,36,Sat,Brooklyn,Taxi,🚕,Rainy,🌧,4.0,0.0,Traffic Control Disregarded,Driving Infraction,3,1,September,08,03:00H,"Brooklyn, 03:00H"
2018-09-08 01:00:00,2018-09-08,36,Sat,Manhattan,Taxi,🚕,Rainy,🌧,0.0,0.0,Following Too Closely,Driving Infraction,1,1,September,08,01:00H,"Manhattan, 01:00H"
2018-09-08 16:00:00,2018-09-08,36,Sat,Queens,Taxi,🚕,Rainy,🌧,0.0,0.0,Driver Inattention/Distraction,Driver Inattention,16,1,September,08,16:00H,"Queens, 16:00H"
2018-09-08 13:00:00,2018-09-08,36,Sat,Manhattan,Taxi,🚕,Rainy,🌧,0.0,0.0,Driver Inattention/Distraction,Driver Inattention,13,1,September,08,13:00H,"Manhattan, 13:00H"
2018-09-08 13:00:00,2018-09-08,36,Sat,Brooklyn,Taxi,🚕,Rainy,🌧,0.0,0.0,Driver Inattention/Distraction,Driver Inattention,13,1,September,08,13:00H,"Brooklyn, 13:00H"
2018-09-08 13:00:00,2018-09-08,36,Sat,,Taxi,🚕,Rainy,🌧,0.0,0.0,Driver Inattention/Distraction,Driver Inattention,13,1,September,08,13:00H,
2018-09-08 02:00:00,2018-09-08,36,Sat,,Taxi,🚕,Rainy,🌧,0.0,0.0,Following Too Closely,Driving Infraction,2,1,September,08,02:00H,
2018-09-08 02:00:00,2018-09-08,36,Sat,Manhattan,Taxi,🚕,Rainy,🌧,0.0,0.0,Backing Unsafely,Driving Infraction,2,1,September,08,02:00H,"Manhattan, 02:00H"
2018-09-08 19:00:00,2018-09-08,36,Sat,Manhattan,Taxi,🚕,Rainy,🌧,0.0,0.0,Following Too Closely,Driving Infraction,19,1,September,08,19:00H,"Manhattan, 19:00H"
2018-09-08 14:00:00,2018-09-08,36,Sat,Manhattan,Taxi,🚕,Rainy,🌧,1.0,0.0,Driver Inattention/Distraction,Driver Inattention,14,1,September,08,14:00H,"Manhattan, 14:00H"
2018-09-08 23:00:00,2018-09-08,36,Sat,Manhattan,Taxi,🚕,Rainy,🌧,0.0,0.0,Unspecified,Unspecified,23,1,September,08,23:00H,"Manhattan, 23:00H"
2018-09-08 23:00:00,2018-09-08,36,Sat,Manhattan,Taxi,🚕,Rainy,🌧,1.0,0.0,Failure to Yield Right-of-Way,Driving Infraction,23,1,September,08,23:00H,"Manhattan, 23:00H"
2018-09-08 23:00:00,2018-09-08,36,Sat,Brooklyn,Fire truck,🚒,Rainy,🌧,0.0,0.0,Oversized Vehicle,Oversized Vehicle,23,1,September,08,23:00H,"Brooklyn, 23:00H"
2018-09-08 09:00:00,2018-09-08,36,Sat,Manhattan,Taxi,🚕,Rainy,🌧,0.0,0.0,Unspecified,Unspecified,9,1,September,08,09:00H,"Manhattan, 09:00H"
2018-09-08 00:00:00,2018-09-08,36,Sat,Manhattan,Taxi,🚕,Rainy,🌧,1.0,0.0,Fell Asleep,Medical Condition,0,1,September,08,00:00H,"Manhattan, 00:00H"
2018-09-08 00:00:00,2018-09-08,36,Sat,Manhattan,Taxi,🚕,Rainy,🌧,0.0,0.0,Backing Unsafely,Driving Infraction,0,1,September,08,00:00H,"Manhattan, 00:00H"
2018-09-08 00:00:00,2018-09-08,36,Sat,Brooklyn,Taxi,🚕,Rainy,🌧,2.0,0.0,Unspecified,Unspecified,0,1,September,08,00:00H,"Brooklyn, 00:00H"
2018-09-08 17:00:00,2018-09-08,36,Sat,Manhattan,Taxi,🚕,Rainy,🌧,1.0,0.0,Driver Inattention/Distraction,Driver Inattention,17,1,September,08,17:00H,"Manhattan, 17:00H"
2018-09-08 17:00:00,2018-09-08,36,Sat,Manhattan,Taxi,🚕,Rainy,🌧,0.0,0.0,Driver Inattention/Distraction,Driver Inattention,17,1,September,08,17:00H,"Manhattan, 17:00H"
2018-09-08 07:00:00,2018-09-08,36,Sat,Manhattan,Taxi,🚕,Rainy,🌧,1.0,0.0,Failure to Yield Right-of-Way,Driving Infraction,7,1,September,08,07:00H,"Manhattan, 07:00H"
2018-09-08 15:00:00,2018-09-08,36,Sat,Bronx,Ambulance,🚑,Rainy,🌧,0.0,0.0,Unspecified,Unspecified,15,1,September,08,15:00H,"Bronx, 15:00H"
2018-09-08 20:00:00,2018-09-08,36,Sat,Queens,Taxi,🚕,Rainy,🌧,0.0,0.0,Unsafe Lane Changing,Driving Infraction,20,1,September,08,20:00H,"Queens, 20:00H"
2018-09-08 11:00:00,2018-09-08,36,Sat,Brooklyn,Taxi,🚕,Rainy,🌧,2.0,0.0,Driver Inattention/Distraction,Driver Inattention,11,1,September,08,11:00H,"Brooklyn, 11:00H"
2018-09-08 06:00:00,2018-09-08,36,Sat,Queens,Taxi,🚕,Rainy,🌧,0.0,0.0,Unspecified,Unspecified,6,1,September,08,06:00H,"Queens, 06:00H"
2018-09-20 14:00:00,2018-09-20,38,Thu,Manhattan,Taxi,🚕,Rainy,🌧,0.0,0.0,Turning Improperly,Driving Infraction,14,1,September,20,14:00H,"Manhattan, 14:00H"
2018-09-20 08:00:00,2018-09-20,38,Thu,Queens,Taxi,🚕,Rainy,🌧,0.0,0.0,Following Too Closely,Driving Infraction,8,1,September,20,08:00H,"Queens, 08:00H"
2018-09-20 08:00:00,2018-09-20,38,Thu,Brooklyn,Taxi,🚕,Rainy,🌧,0.0,0.0,Passing Too Closely,Driving Infraction,8,1,September,20,08:00H,"Brooklyn, 08:00H"
2018-09-20 18:00:00,2018-09-20,38,Thu,Bronx,Taxi,🚕,Rainy,🌧,0.0,0.0,Reaction to Uninvolved Vehicle,Unspecified,18,1,September,20,18:00H,"Bronx, 18:00H"
2018-09-20 17:00:00,2018-09-20,38,Thu,Brooklyn,Taxi,🚕,Rainy,🌧,1.0,0.0,Driver Inattention/Distraction,Driver Inattention,17,1,September,20,17:00H,"Brooklyn, 17:00H"
2018-09-20 00:00:00,2018-09-20,38,Thu,Manhattan,Taxi,🚕,Rainy,🌧,0.0,0.0,Backing Unsafely,Driving Infraction,0,1,September,20,00:00H,"Manhattan, 00:00H"
2018-09-20 00:00:00,2018-09-20,38,Thu,Manhattan,Taxi,🚕,Rainy,🌧,0.0,0.0,Unspecified,Unspecified,0,1,September,20,00:00H,"Manhattan, 00:00H"
2018-09-20 09:00:00,2018-09-20,38,Thu,Queens,Taxi,🚕,Rainy,🌧,0.0,0.0,Brakes Defective,Vehicle Defect,9,1,September,20,09:00H,"Queens, 09:00H"
2018-09-20 09:00:00,2018-09-20,38,Thu,Manhattan,Taxi,🚕,Rainy,🌧,1.0,0.0,Pedestrian/Bicyclist/Other Pedestrian Error/Confusion,Pedestrian Error,9,1,September,20,09:00H,"Manhattan, 09:00H"
2018-09-20 09:00:00,2018-09-20,38,Thu,Manhattan,Taxi,🚕,Rainy,🌧,0.0,0.0,Passenger Distraction,Driver Inattention,9,1,September,20,09:00H,"Manhattan, 09:00H"
2018-09-20 09:00:00,2018-09-20,38,Thu,Manhattan,Taxi,🚕,Rainy,🌧,0.0,0.0,Passing or Lane Usage Improper,Driving Infraction,9,1,September,20,09:00H,"Manhattan, 09:00H"
2018-09-20 10:00:00,2018-09-20,38,Thu,Manhattan,Taxi,🚕,Rainy,🌧,0.0,0.0,Oversized Vehicle,Oversized Vehicle,10,1,September,20,10:00H,"Manhattan, 10:00H"
2018-09-20 10:00:00,2018-09-20,38,Thu,Manhattan,Taxi,🚕,Rainy,🌧,0.0,0.0,Passing Too Closely,Driving Infraction,10,1,September,20,10:00H,"Manhattan, 10:00H"
2018-09-20 10:00:00,2018-09-20,38,Thu,,Taxi,🚕,Rainy,🌧,0.0,0.0,Driver Inattention/Distraction,Driver Inattention,10,1,September,20,10:00H,
2018-09-20 22:00:00,2018-09-20,38,Thu,Manhattan,Taxi,🚕,Rainy,🌧,0.0,0.0,Driver Inattention/Distraction,Driver Inattention,22,1,September,20,22:00H,"Manhattan, 22:00H"
2018-09-20 22:00:00,2018-09-20,38,Thu,Bronx,Taxi,🚕,Rainy,🌧,2.0,0.0,Reaction to Uninvolved Vehicle,Unspecified,22,1,September,20,22:00H,"Bronx, 22:00H"
2018-09-20 12:00:00,2018-09-20,38,Thu,Manhattan,Taxi,🚕,Rainy,🌧,0.0,0.0,Unsafe Lane Changing,Driving Infraction,12,1,September,20,12:00H,"Manhattan, 12:00H"
2018-09-20 01:00:00,2018-09-20,38,Thu,Manhattan,Taxi,🚕,Rainy,🌧,0.0,0.0,Passing or Lane Usage Improper,Driving Infraction,1,1,September,20,01:00H,"Manhattan, 01:00H"
2018-09-20 01:00:00,2018-09-20,38,Thu,Manhattan,Taxi,🚕,Rainy,🌧,0.0,0.0,Passing Too Closely,Driving Infraction,1,1,September,20,01:00H,"Manhattan, 01:00H"
2018-09-20 13:00:00,2018-09-20,38,Thu,,Taxi,🚕,Rainy,🌧,0.0,0.0,Driver Inattention/Distraction,Driver Inattention,13,1,September,20,13:00H,
2018-09-20 23:00:00,2018-09-20,38,Thu,Brooklyn,Taxi,🚕,Rainy,🌧,0.0,0.0,Passing or Lane Usage Improper,Driving Infraction,23,1,September,20,23:00H,"Brooklyn, 23:00H"
2018-09-20 23:00:00,2018-09-20,38,Thu,Queens,Taxi,🚕,Rainy,🌧,0.0,0.0,Cell Phone (hand-Held),Driver Inattention,23,1,September,20,23:00H,"Queens, 23:00H"
2018-09-20 23:00:00,2018-09-20,38,Thu,Manhattan,Taxi,🚕,Rainy,🌧,0.0,0.0,Driver Inattention/Distraction,Driver Inattention,23,1,September,20,23:00H,"Manhattan, 23:00H"
2018-09-20 23:00:00,2018-09-20,38,Thu,Queens,Taxi,🚕,Rainy,🌧,1.0,0.0,Driver Inattention/Distraction,Driver Inattention,23,1,September,20,23:00H,"Queens, 23:00H"
2018-09-20 02:00:00,2018-09-20,38,Thu,Manhattan,Taxi,🚕,Rainy,🌧,0.0,0.0,Driver Inattention/Distraction,Driver Inattention,2,1,September,20,02:00H,"Manhattan, 02:00H"
2018-09-21 17:00:00,2018-09-21,38,Fri,Manhattan,Taxi,🚕,Rainy,🌧,1.0,0.0,Other Vehicular,Unspecified,17,1,September,21,17:00H,"Manhattan, 17:00H"
2018-09-21 12:00:00,2018-09-21,38,Fri,Brooklyn,Taxi,🚕,Rainy,🌧,0.0,0.0,Passing or Lane Usage Improper,Driving Infraction,12,1,September,21,12:00H,"Brooklyn, 12:00H"
2018-09-21 15:00:00,2018-09-21,38,Fri,Manhattan,Taxi,🚕,Rainy,🌧,2.0,0.0,Pedestrian/Bicyclist/Other Pedestrian Error/Confusion,Pedestrian Error,15,1,September,21,15:00H,"Manhattan, 15:00H"
2018-09-21 15:00:00,2018-09-21,38,Fri,Queens,Taxi,🚕,Rainy,🌧,0.0,0.0,Passing Too Closely,Driving Infraction,15,1,September,21,15:00H,"Queens, 15:00H"
2018-09-21 14:00:00,2018-09-21,38,Fri,Manhattan,Taxi,🚕,Rainy,🌧,1.0,0.0,Unspecified,Unspecified,14,1,September,21,14:00H,"Manhattan, 14:00H"
2018-09-21 13:00:00,2018-09-21,38,Fri,Bronx,Taxi,🚕,Rainy,🌧,0.0,0.0,Driver Inattention/Distraction,Driver Inattention,13,1,September,21,13:00H,"Bronx, 13:00H"
2018-09-21 13:00:00,2018-09-21,38,Fri,Manhattan,Taxi,🚕,Rainy,🌧,0.0,0.0,Driver Inattention/Distraction,Driver Inattention,13,1,September,21,13:00H,"Manhattan, 13:00H"
